cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7,frp_sum_l30,frp_max_l3,frp_max_l7,frp_max_l30,n_det_l30,frp_sum_l1_l3,frp_sum_l1_l7,frp_sum_l1_l30,n_det_l1_l3,n_det_l1_l7,n_det_l1_l30,frp_sum_l3_l3,frp_sum_l3_l7,frp_sum_l3_l30,n_det_l3_l3,n_det_l3_l7,n_det_l3_l30,frp_sum_l7_l3,frp_sum_l7_l7,frp_sum_l7_l30,n_det_l7_l3,n_det_l7_l7,n_det_l7_l30
56621,2025-07-04,6.18,1.8,4,1.0,7.03,3.0,6.265000000000001,3.0,8.541666666666671,4.166666666666667,9.55,2.3449999999999998,2.565,2.7975,4.678571428571429,5.839999999999998,7.496666666666667,9.43142857142857,3.5,4.0,4.75,9.520000000000001,9.057222222222222,9.45875,4.5,4.611111111111112,4.642857142857143,8.95916666666667,9.251150793650796,8.851231292517012,4.499999999999998,4.904761904761904,4.405952380952381
56621,2025-07-05,2.92,2.35,2,1.0,6.18,4.0,6.236666666666667,3.3333333333333335,7.611666666666672,3.8333333333333335,9.433793103448275,2.1633333333333336,2.4600000000000004,2.763103448275862,4.655172413793103,6.2366666666666655,7.391666666666667,9.348620689655172,3.3333333333333335,3.8333333333333335,4.689655172413793,8.435,8.728055555555557,9.348620689655172,4.0,4.333333333333333,4.586206896551724,8.820000000000004,9.036190476190479,8.840556650246311,4.388888888888888,4.718253968253968,4.397701149425287
56621,2025-07-06,3.89,2.06,2,1.0,2.92,2.0,5.376666666666668,3.0,6.855000000000005,3.5,9.229655172413793,2.2433333333333336,2.45,2.73,4.586206896551724,6.2366666666666655,6.461666666666667,9.195862068965518,3.3333333333333335,3.5,4.586206896551724,7.26388888888889,8.174722222222224,9.544022988505748,3.611111111111111,4.055555555555555,4.666666666666667,8.266666666666671,8.689325396825401,9.089096880131367,4.11111111111111,4.476190476190476,4.495402298850575
56621,2025-07-07,7.75,2.09,5,1.0,3.89,2.0,4.33,2.6666666666666665,6.433333333333338,3.3333333333333335,8.775172413793104,2.0700000000000003,2.3716666666666666,2.657241379310345,4.448275862068965,5.376666666666665,5.705000000000001,8.991724137931033,3.0,3.1666666666666665,4.517241379310345,5.959444444444446,7.577500000000001,9.424597701149425,3.111111111111111,3.7777777777777772,4.6321839080459775,7.669444444444449,8.317301587301591,9.252924466338264,3.8333333333333326,4.226190476190476,4.560919540229886
56621,2025-07-08,4.71,2.61,2,1.0,7.75,5.0,4.853333333333334,3.0,5.545000000000004,3.1666666666666665,8.63,2.1666666666666665,2.165,2.659655172413793,4.379310344827586,4.329999999999999,5.283333333333333,8.537241379310345,2.6666666666666665,3.0,4.379310344827586,5.314444444444445,6.874722222222222,9.127183908045977,3.0,3.5,4.551724137931035,6.966666666666671,7.893333333333338,9.28752216748769,3.555555555555555,3.9722222222222228,4.586206896551724
56621,2025-07-09,8.98,1.81,7,1.0,4.71,2.0,5.45,3.0,5.42571428571429,3.0,8.610344827586207,2.2533333333333334,2.2285714285714286,2.627931034482758,4.379310344827586,4.853333333333333,5.635714285714286,8.392068965517241,3.0,3.2857142857142856,4.310344827586207,4.853333333333334,6.585952380952382,8.85925287356322,2.888888888888889,3.4285714285714284,4.459770114942528,6.277777777777782,7.557857142857147,9.211763546798034,3.333333333333332,3.857142857142857,4.564367816091954
56621,2025-07-10,6.540000000000001,2.62,4,1.0,8.98,7.0,7.146666666666667,4.666666666666667,5.922857142857147,3.5714285714285716,8.468275862068966,2.17,2.185714285714286,2.577241379310345,4.379310344827586,5.449999999999999,5.425714285714285,8.37241379310345,3.0,3.0,4.310344827586207,4.877777777777778,5.9716666666666685,8.652816091954023,2.888888888888889,3.2142857142857144,4.390804597701149,5.801349206349211,7.0084353741496646,9.097339901477836,3.1666666666666656,3.619047619047619,4.529885057471264
56621,2025-07-11,6.52,2.03,4,1.0,6.540000000000001,4.0,6.743333333333335,4.333333333333333,5.852857142857147,3.7142857142857144,8.288275862068964,2.3466666666666662,2.1914285714285713,2.565862068965517,4.344827586206897,7.146666666666666,5.922857142857143,8.230344827586206,4.666666666666667,3.5714285714285716,4.310344827586207,5.816666666666667,5.66547619047619,8.55051724137931,3.555555555555556,3.238095238095238,4.367816091954023,5.63119047619048,6.6193197278911615,8.91364532019705,3.246031746031745,3.5102040816326534,4.473727422003284
56621,2025-07-12,5.640000000000001,2.54,3,1.0,6.52,4.0,7.346666666666667,5.0,5.901428571428576,3.7142857142857144,8.213448275862069,2.1533333333333333,2.224285714285714,2.5355172413793103,4.344827586206897,6.743333333333332,5.852857142857142,8.050344827586207,4.333333333333333,3.7142857142857144,4.275862068965517,6.446666666666668,5.733809523809525,8.4366091954023,4.0,3.4285714285714284,4.35632183908046,5.733809523809527,6.2352040816326575,8.724605911330054,3.4285714285714284,3.4455782312925174,4.4236453201970445
56621,2025-07-13,4.11,1.35,4,1.0,5.640000000000001,3.0,6.233333333333334,3.6666666666666665,6.2900000000000045,3.857142857142857,8.113793103448275,2.396666666666667,2.2514285714285713,2.545172413793103,4.275862068965517,7.346666666666667,5.901428571428572,7.97551724137931,5.0,3.7142857142857144,4.275862068965517,7.07888888888889,5.892380952380953,8.304310344827586,4.666666666666667,3.666666666666667,4.344827586206897,5.8923809523809565,5.990884353741501,8.550270935960596,3.666666666666666,3.4285714285714284,4.379310344827586
