cell_id,date,frp_sum,frp_max,n_det,y,frp_sum_l1,n_det_l1,frp_sum_l3,n_det_l3,frp_sum_l7,n_det_l7
46100,2025-07-24,1.7,0.77,3,0.0,0.44,1.0,2.5399999999999996,4.0,6.5600000000000005,11.0
46100,2025-07-25,0.4,0.4,1,1.0,1.7,3.0,2.8499999999999996,5.0,7.67,13.0
46100,2025-07-26,0.66,0.66,1,1.0,0.4,1.0,2.54,5.0,6.6,12.0
46100,2025-07-27,0.8,0.8,1,1.0,0.66,1.0,2.76,5.0,5.52,10.0
46100,2025-07-28,1.48,0.9,2,1.0,0.8,1.0,1.86,3.0,6.1,10.0
46100,2025-07-29,0.8500000000000001,0.68,2,1.0,1.48,2.0,2.94,4.0,6.1899999999999995,10.0
46100,2025-07-30,1.54,0.85,2,1.0,0.8500000000000001,2.0,3.1300000000000003,5.0,6.33,11.0
46100,2025-07-31,0.4,0.4,1,1.0,1.54,2.0,3.87,6.0,7.43,12.0
46446,2025-07-02,7.07,2.26,5,1.0,4.63,4.0,6.17,6.0,9.96,12.0
46446,2025-07-03,6.27,2.57,4,1.0,7.07,5.0,11.7,9.0,16.37,16.0
46446,2025-07-05,2.88,1.49,2,0.0,6.27,4.0,17.97,13.0,21.84,19.0
46446,2025-07-06,2.59,1.22,3,1.0,2.88,2.0,16.22,11.0,23.24,19.0
46446,2025-07-07,4.99,2.05,4,1.0,2.59,3.0,11.74,9.0,24.98,20.0
46446,2025-07-08,4.1,1.65,3,1.0,4.99,4.0,10.46,9.0,28.43,22.0
46446,2025-07-09,3.2199999999999998,1.18,3,1.0,4.1,3.0,11.68,10.0,32.53,25.0
46446,2025-07-10,2.99,1.79,2,1.0,3.2199999999999998,3.0,12.309999999999999,10.0,31.119999999999997,24.0
46446,2025-07-11,3.04,1.21,4,1.0,2.99,2.0,10.309999999999999,8.0,27.04,21.0
46446,2025-07-12,2.35,2.35,1,1.0,3.04,4.0,9.25,9.0,23.81,21.0
46446,2025-07-14,3.8200000000000003,2.39,2,0.0,2.35,1.0,8.38,7.0,23.28,20.0
46446,2025-07-15,0.28,0.28,1,1.0,3.8200000000000003,2.0,9.21,7.0,24.51,19.0
46446,2025-07-16,1.16,0.58,2,1.0,0.28,1.0,6.45,4.0,19.8,16.0
46446,2025-07-17,4.82,1.26,6,1.0,1.16,2.0,5.26,5.0,16.86,15.0
